11/17/2023, 10:10:48 AM: user-chat-id: 1454688178, is-have-premium: false, message-deleted: true, user-name: Heso, user-nick: HesoyamiJs
2/13/2024, 7:57:11 PM: user-chat-id: 6740000646, is-have-premium: false, message-deleted: true, user-name: Дагашаща28.2, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6546514372, is-have-premium: false, message-deleted: true, user-name: Kustik_Mary, user-nick: jojorr13
2/13/2024, 7:57:11 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:11 PM: user-chat-id: 6886784200, is-have-premium: false, message-deleted: true, user-name: 16, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6615829472, is-have-premium: false, message-deleted: true, user-name: Аня, user-nick: koasvasbot
2/13/2024, 7:57:11 PM: user-chat-id: 5984857873, is-have-premium: false, message-deleted: true, user-name: Evgenia_job, user-nick: Evgenia_job
2/13/2024, 7:57:11 PM: user-chat-id: 6257793011, is-have-premium: false, message-deleted: true, user-name: Даша, user-nick: Dkijdiw
2/13/2024, 7:57:11 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:11 PM: user-chat-id: 6740000646, is-have-premium: false, message-deleted: true, user-name: Дагашаща28.2, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:11 PM: user-chat-id: 6577987142, is-have-premium: false, message-deleted: true, user-name: 8, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6661350505, is-have-premium: false, message-deleted: true, user-name: Вика, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6504926474, is-have-premium: false, message-deleted: true, user-name: С5, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6962396418, is-have-premium: false, message-deleted: true, user-name: Валерия, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:11 PM: user-chat-id: 6056532063, is-have-premium: false, message-deleted: true, user-name: Саша, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 5924118987, is-have-premium: false, message-deleted: true, user-name: Лизка😚, user-nick: Detkakonfetka1
2/13/2024, 7:57:11 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:11 PM: user-chat-id: 5935826438, is-have-premium: false, message-deleted: true, user-name: Ragamafin, user-nick: Jorik_24
2/13/2024, 7:57:11 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:11 PM: user-chat-id: 5902384931, is-have-premium: false, message-deleted: true, user-name: Mallissa, user-nick: lkDyuh
2/13/2024, 7:57:11 PM: user-chat-id: 6504926474, is-have-premium: false, message-deleted: true, user-name: С5, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6257793011, is-have-premium: false, message-deleted: true, user-name: Даша, user-nick: Dkijdiw
2/13/2024, 7:57:11 PM: user-chat-id: 6568746845, is-have-premium: false, message-deleted: true, user-name: Плаобаод 28.1, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6625551175, is-have-premium: false, message-deleted: true, user-name: KOSMOS, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:11 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6886784200, is-have-premium: false, message-deleted: true, user-name: 16, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6748498861, is-have-premium: false, message-deleted: true, user-name: Paskal_13, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:11 PM: user-chat-id: 6577987142, is-have-premium: false, message-deleted: true, user-name: 8, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 5984857873, is-have-premium: false, message-deleted: true, user-name: Evgenia_job, user-nick: Evgenia_job
2/13/2024, 7:57:11 PM: user-chat-id: 6740000646, is-have-premium: false, message-deleted: true, user-name: Дагашаща28.2, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6542462395, is-have-premium: false, message-deleted: true, user-name: REKET, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6025095900, is-have-premium: false, message-deleted: true, user-name: Алёнка, user-nick: olyyyyyy231
2/13/2024, 7:57:11 PM: user-chat-id: 1912247680, is-have-premium: false, message-deleted: true, user-name: Антропоморфный артефакт, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6701412015, is-have-premium: false, message-deleted: true, user-name: Даша, user-nick: Daha_fnf
2/13/2024, 7:57:11 PM: user-chat-id: 6298068517, is-have-premium: false, message-deleted: true, user-name: Алексей, user-nick: chvsdiljvbeo
2/13/2024, 7:57:11 PM: user-chat-id: 5509350539, is-have-premium: false, message-deleted: true, user-name: Марина, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:11 PM: user-chat-id: 6575063748, is-have-premium: false, message-deleted: true, user-name: Денис, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6056532063, is-have-premium: false, message-deleted: true, user-name: Саша, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6568746845, is-have-premium: false, message-deleted: true, user-name: Плаобаод 28.1, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6257793011, is-have-premium: false, message-deleted: true, user-name: Даша, user-nick: Dkijdiw
2/13/2024, 7:57:11 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 5941189194, is-have-premium: false, message-deleted: true, user-name: Sibylin, user-nick: jdjdjsjdjr
2/13/2024, 7:57:11 PM: user-chat-id: 6504926474, is-have-premium: false, message-deleted: true, user-name: С5, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 5271652398, is-have-premium: false, message-deleted: true, user-name: Руслана, user-nick: rusika653
2/13/2024, 7:57:11 PM: user-chat-id: 6886784200, is-have-premium: false, message-deleted: true, user-name: 16, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6577987142, is-have-premium: false, message-deleted: true, user-name: 8, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6493855816, is-have-premium: false, message-deleted: true, user-name: София, user-nick: sofa00185
2/13/2024, 7:57:11 PM: user-chat-id: 6014818413, is-have-premium: false, message-deleted: true, user-name: Евгения, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6916563137, is-have-premium: false, message-deleted: true, user-name: Работа Для, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:11 PM: user-chat-id: 6194376816, is-have-premium: false, message-deleted: true, user-name: София, user-nick: undefined
